13:54:37 50 docs → 193 segments
17:48:38 [epoch 225/3000] nll=0.0285  best=0.0248  con=0.0241
17:49:40 [epoch 226/3000] nll=0.0298  best=0.0248  con=0.0240
17:50:42 [epoch 227/3000] nll=0.0248  best=0.0248  con=0.0242
17:51:44 [epoch 228/3000] nll=0.0246  best=0.0248  con=0.0240
17:52:46 [epoch 229/3000] nll=0.0270  best=0.0246  con=0.0241
17:53:48 [epoch 230/3000] nll=0.0250  best=0.0246  con=0.0239
17:54:50 [epoch 231/3000] nll=0.0229  best=0.0246  con=0.0243
17:55:52 [epoch 232/3000] nll=0.0226  best=0.0229  con=0.0242
17:56:55 [epoch 233/3000] nll=0.0223  best=0.0226  con=0.0240
17:57:57 [epoch 234/3000] nll=0.0223  best=0.0223  con=0.0243
17:58:59 [epoch 235/3000] nll=0.0226  best=0.0223  con=0.0242
18:00:01 [epoch 236/3000] nll=0.0227  best=0.0223  con=0.0239
18:01:03 [epoch 237/3000] nll=0.0238  best=0.0223  con=0.0240
18:02:05 [epoch 238/3000] nll=0.0227  best=0.0223  con=0.0238
18:03:07 [epoch 239/3000] nll=0.0222  best=0.0223  con=0.0246
18:04:09 [epoch 240/3000] nll=0.0222  best=0.0222  con=0.0241
18:05:11 [epoch 241/3000] nll=0.0222  best=0.0222  con=0.0240
18:06:14 [epoch 242/3000] nll=0.0229  best=0.0222  con=0.0241
18:07:16 [epoch 243/3000] nll=0.0224  best=0.0222  con=0.0240
18:08:18 [epoch 244/3000] nll=0.0236  best=0.0222  con=0.0241
18:09:20 [epoch 245/3000] nll=0.0215  best=0.0222  con=0.0240
18:10:22 [epoch 246/3000] nll=0.0208  best=0.0215  con=0.0240
18:11:24 [epoch 247/3000] nll=0.0206  best=0.0208  con=0.0244
18:12:26 [epoch 248/3000] nll=0.0203  best=0.0206  con=0.0237
18:13:28 [epoch 249/3000] nll=0.0202  best=0.0203  con=0.0240
18:14:31 [epoch 250/3000] nll=0.0200  best=0.0202  con=0.0242
18:15:33 [epoch 251/3000] nll=0.0201  best=0.0200  con=0.0237
18:16:35 [epoch 252/3000] nll=0.0226  best=0.0200  con=0.0241
18:17:37 [epoch 253/3000] nll=0.0223  best=0.0200  con=0.0239
18:18:39 [epoch 254/3000] nll=0.0246  best=0.0200  con=0.0239
18:19:41 [epoch 255/3000] nll=0.0212  best=0.0200  con=0.0241
18:20:43 [epoch 256/3000] nll=0.0198  best=0.0200  con=0.0241
18:21:45 [epoch 257/3000] nll=0.0198  best=0.0198  con=0.0236
18:22:47 [epoch 258/3000] nll=0.0193  best=0.0198  con=0.0239
18:23:49 [epoch 259/3000] nll=0.0192  best=0.0193  con=0.0237
18:24:52 [epoch 260/3000] nll=0.0189  best=0.0192  con=0.0237
18:25:54 [epoch 261/3000] nll=0.0189  best=0.0189  con=0.0237
18:26:56 [epoch 262/3000] nll=0.0188  best=0.0189  con=0.0236
18:27:58 [epoch 263/3000] nll=0.0185  best=0.0188  con=0.0242
18:29:00 [epoch 264/3000] nll=0.0184  best=0.0185  con=0.0239
18:30:03 [epoch 265/3000] nll=0.0184  best=0.0184  con=0.0240
18:31:05 [epoch 266/3000] nll=0.0182  best=0.0184  con=0.0240
18:32:07 [epoch 267/3000] nll=0.0182  best=0.0182  con=0.0239
18:33:09 [epoch 268/3000] nll=0.0182  best=0.0182  con=0.0239
18:34:11 [epoch 269/3000] nll=0.0182  best=0.0182  con=0.0241
18:35:13 [epoch 270/3000] nll=0.0181  best=0.0182  con=0.0242
18:36:15 [epoch 271/3000] nll=0.0192  best=0.0181  con=0.0239
18:37:17 [epoch 272/3000] nll=0.0248  best=0.0181  con=0.0237
18:38:19 [epoch 273/3000] nll=0.0248  best=0.0181  con=0.0240
18:39:21 [epoch 274/3000] nll=0.0476  best=0.0181  con=0.0237
