18:12:02 50 docs → 50 segments
19:11:37 [epoch 163/3000] nll=0.1466  best=0.1138  con=0.9722
19:11:59 [epoch 164/3000] nll=0.1385  best=0.1138  con=0.9673
19:12:21 [epoch 165/3000] nll=0.1395  best=0.1138  con=0.9625
19:12:43 [epoch 166/3000] nll=0.1374  best=0.1138  con=0.9578
19:13:04 [epoch 167/3000] nll=0.1438  best=0.1138  con=0.9531
19:13:26 [epoch 168/3000] nll=0.1701  best=0.1138  con=0.9503
19:13:48 [epoch 169/3000] nll=0.1438  best=0.1138  con=0.9465
19:14:10 [epoch 170/3000] nll=0.1229  best=0.1138  con=0.9426
19:14:32 [epoch 171/3000] nll=0.1186  best=0.1138  con=0.9381
19:14:53 [epoch 172/3000] nll=0.1164  best=0.1138  con=0.9347
19:15:15 [epoch 173/3000] nll=0.1019  best=0.1138  con=0.9300
19:15:37 [epoch 174/3000] nll=0.0929  best=0.1019  con=0.9259
19:15:59 [epoch 175/3000] nll=0.0961  best=0.0929  con=0.9217
19:16:21 [epoch 176/3000] nll=0.0877  best=0.0929  con=0.9174
19:16:43 [epoch 177/3000] nll=0.0955  best=0.0877  con=0.9130
19:17:04 [epoch 178/3000] nll=0.0989  best=0.0877  con=0.9090
19:17:26 [epoch 179/3000] nll=0.1097  best=0.0877  con=0.9069
19:17:48 [epoch 180/3000] nll=0.0933  best=0.0877  con=0.9028
19:18:10 [epoch 181/3000] nll=0.1151  best=0.0877  con=0.8994
19:18:32 [epoch 182/3000] nll=0.0999  best=0.0877  con=0.8967
19:18:53 [epoch 183/3000] nll=0.0902  best=0.0877  con=0.8927
19:19:15 [epoch 184/3000] nll=0.1038  best=0.0877  con=0.8907
19:19:37 [epoch 185/3000] nll=0.1070  best=0.0877  con=0.8867
19:19:59 [epoch 186/3000] nll=0.0823  best=0.0877  con=0.8829
19:20:21 [epoch 187/3000] nll=0.0786  best=0.0823  con=0.8790
19:20:42 [epoch 188/3000] nll=0.0879  best=0.0786  con=0.8749
19:21:04 [epoch 189/3000] nll=0.0935  best=0.0786  con=0.8735
19:21:26 [epoch 190/3000] nll=0.0845  best=0.0786  con=0.8696
19:21:48 [epoch 191/3000] nll=0.0764  best=0.0786  con=0.8656
19:22:10 [epoch 192/3000] nll=0.0744  best=0.0764  con=0.8617
19:22:31 [epoch 193/3000] nll=0.0726  best=0.0744  con=0.8580
19:22:53 [epoch 194/3000] nll=0.0705  best=0.0726  con=0.8542
19:23:15 [epoch 195/3000] nll=0.0752  best=0.0705  con=0.8506
19:23:37 [epoch 196/3000] nll=0.0725  best=0.0705  con=0.8469
19:23:58 [epoch 197/3000] nll=0.0849  best=0.0705  con=0.8434
19:24:20 [epoch 198/3000] nll=0.0683  best=0.0705  con=0.8400
19:24:42 [epoch 199/3000] nll=0.0659  best=0.0683  con=0.8363
19:25:04 [epoch 200/3000] nll=0.0646  best=0.0659  con=0.8327
19:25:26 [epoch 201/3000] nll=0.0642  best=0.0646  con=0.8292
19:25:48 [epoch 202/3000] nll=0.0636  best=0.0642  con=0.8256
19:26:09 [epoch 203/3000] nll=0.0639  best=0.0636  con=0.8222
19:26:31 [epoch 204/3000] nll=0.0638  best=0.0636  con=0.8187
19:26:53 [epoch 205/3000] nll=0.0647  best=0.0636  con=0.8154
19:27:15 [epoch 206/3000] nll=0.0647  best=0.0636  con=0.8120
19:27:37 [epoch 207/3000] nll=0.0717  best=0.0636  con=0.8089
19:27:58 [epoch 208/3000] nll=0.0664  best=0.0636  con=0.8056
19:28:20 [epoch 209/3000] nll=0.0959  best=0.0636  con=0.8027
19:28:42 [epoch 210/3000] nll=0.1206  best=0.0636  con=0.8014
